Surge2 leak,Surge3 loss,Surge3 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8
0.0000,67.5000,0.0000,,,,,,,,
0.0000,45.5000,0.0000,4594.0000,3.0000,0.0000,3.0000,15.0000,538.0000,0.0000,0.0000
0.0000,27.3000,0.0000,12684.0000,2.0000,0.0000,4.0000,22.0000,676.0000,0.0000,0.0000
0.0000,32.8000,0.0000,2416.0000,4.0000,0.0000,0.0000,10.0000,642.0000,0.0000,0.0000
0.0000,17.5000,0.0000,3746.0000,0.0000,0.0000,0.0000,12.0000,339.0000,14.0000,0.0000
0.0000,20.9000,0.0000,2498.0000,4.0000,0.0000,0.0000,12.0000,618.0000,16.0000,13.0000
0.0000,40.0000,0.0000,1460.0000,4.0000,0.0000,0.0000,6.0000,469.0000,0.0000,0.0000
10.0000,30.4000,10.0000,3550.0000,4.0000,0.0000,0.0000,11.0000,374.0000,26.0000,0.0000
0.0000,40.0000,0.0000,3820.0000,8.0000,0.0000,0.0000,11.0000,686.0000,63.0000,0.0000
0.0000,57.4000,0.0000,6796.0000,6.0000,0.0000,9.0000,52.0000,548.0000,5.0000,11.0000
0.0000,0.2078,0.0000,5930.0000,9.0000,0.0000,5.0000,37.0000,1314.0000,18.0000,13.0000
10.0000,69.2000,10.0000,5969.0000,13.0000,0.0000,5.0000,37.0000,1542.0000,20.0000,13.0000
0.0000,51.7000,0.0000,11622.0000,3.0000,0.0000,5.0000,30.0000,890.0000,0.0000,0.0000
0.0000,23.7000,0.0000,5841.0000,20.0000,0.0000,9.0000,52.0000,992.0000,48.0000,0.0000
0.0000,40.0000,0.0000,5934.0000,7.0000,0.0000,172.0000,210.0000,533.0000,21.0000,101.0000
0.0000,40.0000,0.0000,4662.0000,7.0000,0.0000,163.0000,174.0000,457.0000,21.0000,97.0000
0.0000,33.1000,0.0000,,,,,,,,
0.0000,56.2000,0.0000,4269.0000,8.0000,0.0000,170.0000,138.0000,677.0000,21.0000,107.0000
0.0000,76.5000,0.0000,4729.0000,6.0000,0.0000,152.0000,155.0000,588.0000,19.0000,96.0000
10.0000,75.5000,10.0000,6409.0000,3.0000,0.0000,3.0000,21.0000,561.0000,0.0000,0.0000
0.0000,30.0000,0.0000,1765.0000,4.0000,0.0000,0.0000,8.0000,1209.0000,2.0000,2.0000
0.0000,30.0000,0.0000,1548.0000,5.0000,0.0000,0.0000,6.0000,900.0000,14.0000,0.0000
0.0000,63.2000,0.0000,1936.0000,4.0000,0.0000,0.0000,7.0000,1024.0000,2.0000,2.0000
0.0000,40.0000,0.0000,1648.0000,5.0000,0.0000,0.0000,8.0000,782.0000,14.0000,0.0000
0.0000,36.6200,0.0000,1844.0000,5.0000,0.0000,0.0000,8.0000,774.0000,15.0000,0.0000
0.0000,32.6400,0.0000,5042.0000,4.0000,0.0000,4.0000,20.0000,1043.0000,14.0000,13.0000
0.0000,58.9000,0.0000,1124.0000,3.0000,0.0000,0.0000,2.0000,461.0000,0.0000,0.0000
0.0000,65.1000,0.0000,2870.0000,4.0000,0.0000,3.0000,12.0000,1054.0000,14.0000,0.0000
0.0000,28.3000,0.0000,,,,,,,,
0.0000,31.5000,0.0000,,,,,,,,
0.0000,72.4000,0.0000,,,,,,,,
0.0000,43.2000,0.0000,1124.0000,4.0000,0.0000,8.0000,31.0000,282.0000,16.0000,15.0000
0.0000,35.8000,0.0000,10130.0000,6.0000,0.0000,208.0000,183.0000,504.0000,,
0.0000,52.6000,0.0000,2408.0000,7.0000,0.0000,117.0000,59.0000,180.0000,18.0000,87.0000
0.0000,47.8000,0.0000,,,,,,,,
0.0000,1.3151,0.0000,,,,,,,,
0.0000,76.6000,0.0000,,,,,,,,
0.0000,34.7000,0.0000,,,,,,,,
0.0000,38.8000,0.0000,,,,,,,,
0.0000,33.6000,0.0000,,,,,,,,
0.0000,69.9000,0.0000,1342.0000,0.0000,0.0000,0.0000,5.0000,638.0000,0.0000,0.0000
0.0000,123.6000,0.0000,,,,,,,,
0.0000,28.7000,0.0000,,,,,,,,
0.0000,69.7000,0.0000,,,,,,,,
0.0000,69.4000,0.0000,,,,,,,,
